NORAD Catalog Number		Name
36795	,	CARTOSAT-2B
36797	,	AISSAT 1
36798	,	ALSAT 2A
36799	,	TISAT 1
36828	,	BEIDOU 5
36830	,	NILESAT 201
36831	,	RASCOM-QAF 1R
36834	,	YAOGAN 10
36985	,	TIANHUI 1
37139	,	COSMOS 2464 [GLONASS-M]
37150	,	CHINASAT 6A (ZX 6A)
37152	,	COSMOS 2467
37153	,	STRELA 3
37154	,	COSMOS 2468
37158	,	QZS-1 (MICHIBIKI)
37162	,	USA 215
37165	,	YAOGAN 11
37166	,	ZHEDA PIXING 1B
37167	,	ZHEDA PIXING 1C
37168	,	SBSS (USA 216)
37174	,	CHANG'E-2
37179	,	SJ-6G
37180	,	SJ-6H
37185	,	XM-5
37188	,	GLOBALSTAR M079
37189	,	GLOBALSTAR M074
37190	,	GLOBALSTAR M076
37191	,	GLOBALSTAR M077
37192	,	GLOBALSTAR M075
37193	,	GLOBALSTAR M073
37206	,	EUTELSAT W3B
37207	,	BSAT-3B
37210	,	BEIDOU 6
37212	,	MERIDIAN 3
37214	,	FENGYUN 3B
37216	,	COSMO-SKYMED 4
37218	,	SKYTERRA 1
37222	,	STPSAT-2 (USA 217)
37224	,	O/OREOS (USA 219)
37232	,	USA 223
37234	,	ZHONGXING-20A
37237	,	HYLAS 1
37238	,	INTELSAT 17 (IS-17)
37256	,	BEIDOU 7
37258	,	EUTELSAT KA-SAT 9A
37264	,	HISPASAT 1E
37265	,	KOREASAT 6
37348	,	USA 224
37364	,	USA 225
37372	,	COSMOS 2471 [GLONASS-K]
37377	,	USA 227
37384	,	BEIDOU 8
37386	,	USA 229
37387	,	RESOURCESAT-2
37388	,	YOUTHSAT
37389	,	X-SAT
37392	,	INTELSAT NEW DAWN
37393	,	YAHSAT 1A
37398	,	MERIDIAN 4
37481	,	SBIRS GEO-1 (USA 230)
37602	,	TELSTAR 14R
37605	,	GSAT-8
37606	,	ST-2
37677	,	CHINASAT 10 (ZX 10)
37730	,	SJ-11-03
37737	,	TIANLIAN 1-02
37739	,	GLOBALSTAR M083
37740	,	GLOBALSTAR M088
37741	,	GLOBALSTAR M091
37742	,	GLOBALSTAR M085
37743	,	GLOBALSTAR M081
37744	,	GLOBALSTAR M089
37746	,	GSAT-12
37748	,	SES-3
37749	,	KAZSAT-2
37753	,	NAVSTAR 66 (USA 232)
37755	,	SPEKTR-R
37763	,	BEIDOU 9
37765	,	SJ-11-02
37773	,	JUNO
37775	,	ASTRA 1N
37776	,	BSAT-3C (JCSAT-110R)
37779	,	PAKSAT-1R
37781	,	HAIYANG 2A
37789	,	NIGERIASAT-2
37790	,	NIGERIASAT-X
37791	,	RASAT
37792	,	APRIZESAT 5
37793	,	APRIZESAT 6
37804	,	CHINASAT 1A (ZX 1A)
37806	,	COSMOS 2473
37809	,	SES-2
37810	,	ARABSAT-5C
37813	,	IGS 6A
37816	,	EUTELSAT 7 WEST A
37818	,	TACSAT 4
37826	,	QUETZSAT 1
37829	,	COSMOS 2474 [GLONASS-M]
37834	,	INTELSAT 18 (IS-18)
37836	,	EUTELSAT 16A
37838	,	MEGHA-TROPIQUES
37839	,	JUGNU
37841	,	SRMSAT
37843	,	VIASAT-1
37846	,	GSAT0101 (GALILEO-PFM)
37847	,	GSAT0102 (GALILEO-FM2)
37849	,	SUOMI NPP
37854	,	AUBIESAT-1 (AO-71)
37855	,	M-CUBED & EXP-1 PRIME
37867	,	COSMOS 2476 [GLONASS-M]
37868	,	COSMOS 2477 [GLONASS-M]
37869	,	COSMOS 2475 [GLONASS-M]
37875	,	YAOGAN 12
37930	,	CHUANGXIN 1-03 (CX-1-03)
37931	,	SHIYAN 4 (SY-4)
37933	,	ASIASAT 7
37941	,	YAOGAN 13
37948	,	BEIDOU 10
37951	,	LUCH 5A
37954	,	IGS 7A
38007	,	ELISA W11
38008	,	ELISA E24
38009	,	ELISA W23
38010	,	ELISA E12
38011	,	SSOT
38012	,	PLEIADES 1A
38014	,	NIGCOMSAT 1R
38038	,	ZIYUAN 1-02C (ZY 1-02C)
38040	,	GLOBALSTAR M084
38041	,	GLOBALSTAR M080
38042	,	GLOBALSTAR M082
38043	,	GLOBALSTAR M092
38044	,	GLOBALSTAR M090
38045	,	GLOBALSTAR M086
38046	,	ZIYUAN 3 (ZY 3)
38049	,	FENGYUN 2F
38070	,	WGS F4 (USA 233)
38077	,	LARES
38087	,	SES-4
38091	,	BEIDOU 11
38093	,	MUOS-1
38098	,	INTELSAT 22 (IS-22)
38107	,	APSTAR 7
38109	,	USA 234
38245	,	YAHSAT 1B
38248	,	RISAT-1
38250	,	BEIDOU 12
38251	,	BEIDOU 13
38254	,	AEHF-2 (USA 235)
38256	,	TIANHUI 1-02
38257	,	YAOGAN 14
38331	,	JCSAT-13
38332	,	VINASAT-2
38337	,	GCOM-W1 (SHIZUKU)
38338	,	ARIRANG-3 (KOMPSAT-3)
38339	,	SDS-4
38340	,	HORYU 2
38342	,	NIMIQ 6
38352	,	CHINASAT 2A (ZX 2A)
38354	,	YAOGAN 15
38356	,	INTELSAT 19 (IS-19)
38358	,	NUSTAR
38466	,	USA 236
38528	,	USA 237
38551	,	ECHOSTAR 17
38552	,	METEOSAT-10 (MSG-3)
38652	,	SES-5
38707	,	KANOPUS-V 1
38708	,	BKA 2
38709	,	EXACTVIEW-1 (ADS-1B)
38710	,	TET-1
38711	,	MKA-PN 1
38730	,	TIANLIAN 1-03
38733	,	COSMOS 2481
38734	,	GONETS-M 3
38735	,	YUBELEINY 2
38736	,	GONETS-M 4
38740	,	INTELSAT 20 (IS-20)
38741	,	HYLAS 2
38744	,	TELKOM 3
38745	,	EXPRESS-MD2
38749	,	INTELSAT 21 (IS-21)
38752	,	RBSP A
38753	,	RBSP B
38755	,	SPOT 6
38758	,	USA 238
38759	,	SMDC ONE 1.2
38760	,	AENEAS
38761	,	CSSWE
38764	,	CINEMA
38766	,	SMDC ONE 1.1
38767	,	AEROCUBE 4.5A
38768	,	AEROCUBE 4.5B
38771	,	METOP-B
38775	,	BEIDOU 15
38778	,	ASTRA 2F
38779	,	GSAT-10
38782	,	VRSS-1
38833	,	NAVSTAR 67 (USA 239)
38857	,	GSAT0103 (GALILEO-FM3)
38858	,	GSAT0104 (GALILEO-FM4)
38860	,	SJ-9A
38861	,	SJ-9B
